Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
1,Ostrava,JG,Ukonceno,5.4,251849.62,322979.00,Interni,01/01/2020,01/01/2020,01/01/2020,01/01/2020,17/09/2021, 222855.51 ,23/09/2021,24/09/2021,18/10/2021,29/10/2021, 111427.76 ,03/11/2021,18/10/2021,19/11/2021,21.07.2022,21/07/2022,26/07/2022, 37142.59 ,11/08/2022,26/08/2022
2,Násedlovice,,Ukonceno,5.4,213426.00,287876.00,Interni,01/01/2020,01/01/2020,01/01/2020,01/01/2020,14/09/2021, 198634.44 ,17/09/2021,16/09/2021,19/09/2021,29/10/2021, 99317.22 ,05/11/2021,27/10/2021,13/12/2021,11.01.2022,11/01/2022,26/01/2022, 33105.74 ,27/01/2022,05/05/2022
3,Čejč,,Ukonceno,8.1,263780.00,278260.00,Interni,01/01/2020,01/01/2020,01/01/2020,01/01/2020,23/09/2021, 191999.40 ,27/09/2021,20/09/2021,29/10/2021,29/10/2021, 95999.70 ,04/11/2021,15/11/2021,24/11/2021,07.12.2021,07/12/2021,16/12/2021, 31999.90 ,16/12/2022,03/05/2022
4,Jižní Čechy,IK,Ukonceno,8.1,422000.00,431304.00,Interni,01/01/2020,01/01/2020,30/09/2021,01/01/2020,26/10/2021, 297599.76 ,29/10/2021,23/11/2021,09/12/2021,30/12/2021, 148799.88 ,08/01/2022,03/12/2021,10/05/2022,17.06.2022,17/06/2022,21/06/2022, 49599.96 ,01/07/2022,O2/07/2022
5,Hýsly,"ET, IK",Ukonceno,4.5,350000.00,304510.00,Externi,01/01/2020,01/01/2020,01/01/2020,18/09/2021,08/10/2021, 210111.90 ,11/10/2021,27/10/2021,11/12/2021,30/12/2021, 105055.95 ,05/01/2022,22/12/2021,27/01/2022,30.05.2022,07/02/2022,04/06/2022, 35018.65 ,04/06/2022,01/07/2022
6,Ratíškovice,,Ukonceno,5.4,219522.00,287329.00,Interni,01/01/2020,01/01/2020,01/01/2020,01/01/2020,29/10/2021, 330428.00 ,04/11/2021,20/09/2021,19/11/2021,29/10/2021, 99128.51 ,04/11/2021,20/11/2021,30/11/2021,14.12.2021,14/12/2021,29/10/2021, 33042.84 ,04/11/2021,29/01/2022
7,Praha,,Nerealizovano,9.9,360000.00,,Interni,01/01/2020,,,,, - ,,,,, - ,,,,,,, - ,,
8,Klobouky u Brna ,,Nerealizovano,9.9,360000.00,,Interni,01/01/2020,01/01/2020,,,, - ,,17/09/2021,17/09/2021,, - ,,,,,,, - ,,
9,Klobouky u Brna ,,Nerealizovano,,1500000.00,,Interni,,,,,, - ,,,,, - ,,,,,,, - ,,
10,Drslavice,WB,R ,8.28,406058.00,494767.00,Interni,01/01/2020,01/01/2020,14/02/2022,,, 150000.00 ,11/05/2022,22/03/2022,,, 170694.62 ,,,,,,, 56898.21 ,,
11,Uherský Brod,,Ukonceno,7.2,425000.00,367016.00,Interni,01/01/2020,01/01/2020,12/11/2021,11/10/2021,11/10/2021, 253241.04 ,12/10/2021,23/11/2021,30/11/2021,30/12/2021, 126620.52 ,06/01/2022,22/12/2021,22/01/2022,07.02.2022,07/02/2022,10/02/2022, 42206.84 ,21/02/2022,28/02/2022
12,Hýsly,WB,Ukonceno,7.2,323000.00,416654.00,Interni,01/01/2020,01/01/2020,29/11/2021,14/10/2021,18/11/2021, 287491.26 ,01/12/2021,07/12/2021,11/12/2021,30/12/2021, 143745.63 ,04/01/2022,22/12/2021,22/01/2022,07.02.2022,07/02/2022,07/02/2022, 47915.21 ,17/03/2022,05/05/2022
13,Kyjov,,Nerealizovano,8.1,309567.00,414033.00,Interni,01/01/2020,01/01/2020,,,, 285682.77 ,,,,, 142841.39 ,,,,,,, 47613.80 ,,
14,Kuřim,,Nerealizovano,,,,Interni,01/01/2020,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
